#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       9.104552   7.6985309441986353E-05   1.2218427830587412E-04   9.6276102830632360E-01   2.6886703993927236E-01  -1.0008474467596007E-08  -2.1731989654008572E-09  -6.7951836436780204E-05   3.3011671895165407E-05
       9.204602  -4.0892185449643869E-08   1.4763583935574443E-04  -4.1729523340991498E-01   9.0830091405073188E-01   3.8916917414338892E-09  -9.9873069953071436E-09   5.9194147894015546E-05  -4.9684662077062365E-05
       9.304652  -8.0539900315904208E-05   1.2760451003797439E-04  -8.3112012766097698E-01  -5.5527472073307127E-01   9.6745364011607826E-09   5.6646281450245528E-09  -4.6346217733415831E-05   6.4015087485368033E-05
       9.404702  -1.3920434519123595E-04   6.6360916907210105E-05   6.7935386506446294E-01  -7.3315138878989639E-01  -7.4416869125237817E-09   9.0526002128471506E-09   3.0025936129719977E-05  -7.4997740466772967E-05
       9.504752  -1.5649988594702618E-04  -1.8578977835906576E-05   6.1684747627327585E-01   7.8642914081250748E-01  -8.1145960402484452E-09  -9.1686973308774400E-09  -1.1099082713859118E-05   8.1795918289189384E-05
       9.604802  -1.2511783229681838E-04  -1.0141404060517707E-04  -8.7382278369825461E-01   4.8511979838028907E-01   1.0791088408262928E-08  -6.8634333069347853E-09  -9.3639611119551471E-06  -8.3801280553772345E-05
       9.704852  -5.2834169652072924E-05  -1.5586865943220497E-04  -3.4126548644294863E-01  -9.3934977704725087E-01   5.3096131883562103E-09   1.2255237148012244E-08   3.0146965985912963E-05   8.0681351122765095E-05
       9.804902   3.9292032288122807E-05  -1.6349792775681841E-04   9.8137249770296742E-01  -1.8888483799077763E-01  -1.3507665649198364E-08   3.4700455976525990E-09  -4.9959055606581528E-05  -7.2411421406445622E-05
       9.904952   1.2301217468743626E-04  -1.1987093428137311E-04   3.1791177138310846E-02   9.9884165405933389E-01  -1.3692998553603564E-09  -1.4494064885794966E-08   6.7514218248354967E-05   5.9288488481541877E-05
      10.005003   1.7152445116312131E-04  -3.6577082964395999E-05  -9.9132249207499057E-01  -1.2608461020250966E-01   1.5160431422397980E-08   9.5760395598352997E-10  -8.1614124002590133E-05  -4.1925824783749140E-05
      10.105053   1.6802058159315846E-04   6.1760245374175410E-05   2.8079247544439750E-01  -9.5900561415033025E-01  -3.4633302710071479E-09   1.5456861242324482E-08   9.1228740856499427E-05   2.1227796520327850E-05
      10.205103   1.1142727339796948E-04   1.4472683302513596E-04   9.0270214117327197E-01   4.2846207657016377E-01  -1.5342233398649152E-08  -6.0892049623048616E-09  -9.5569179929025637E-05   1.6543867748301419E-06
      10.305153   1.7403434421579353E-05   1.8549883832017687E-04  -5.6539964165706724E-01   8.2382334021174697E-01   8.7687020179638697E-09  -1.4787159158605179E-08   9.4147592725522626E-05  -2.5384208333858824E-05
      10.405203  -8.5920404761877394E-05   1.6947629291893485E-04  -7.2434522942288293E-01  -6.8818040122990787E-01   1.3773963620719589E-08   1.1431099188746741E-08  -8.6819748095203023E-05   4.8515769857939814E-05
      10.505253  -1.6632651018569703E-04   9.9401318273826462E-05   7.9373427515154782E-01  -6.0675904801211389E-01  -1.4002966265691530E-08   1.2294954977731809E-08   7.3807042868621108E-05  -6.9580136729929524E-05
      10.605303  -1.9752953835059219E-04  -4.8043520153947150E-06   4.7400883308268310E-01   8.7942266889881460E-01  -1.0351670696844006E-08  -1.6407233890958217E-08  -5.5696030139791653E-05   8.7177179550843915E-05
      10.705353  -1.6772322539156784E-04  -1.1164460315262658E-04  -9.4310445695578526E-01   3.2941766809545947E-01   1.8561996120713964E-08  -7.9568640834123960E-09   3.3414962243640395E-05  -1.0006726270657591E-04
      10.805403  -8.3888376365247108E-05  -1.8753977952336179E-04  -1.7660445131712491E-01  -9.8318950210120659E-01   5.1384204712359716E-09   2.0381806164690430E-08  -8.1882389614036281E-06   1.0725674311940006E-04
      10.905453   2.9670092028282692E-05  -2.0735246420194671E-04   9.9867837178032981E-01  -1.9393269954645086E-02  -2.1782393926778054E-08   1.9423730920659246E-09  -1.8529047622636752E-05  -1.0807128625369970E-04
      11.005503   1.3832103799487039E-04  -1.6265725351356769E-04  -1.3828234928660721E-01   9.8918725869620383E-01   1.5674532245074642E-09  -2.2686956651848944E-08   4.5133114700680367E-05   1.0221153241447058E-04
      11.105553   2.0764134060523553E-04  -6.5049707955620363E-05  -9.5495748356131283E-01  -2.9247791437546433E-01   2.3030861094966437E-08   5.3131087697846913E-09  -6.9965672084659435E-05  -8.9786646353758585E-05
