#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  8.35417708854427232E+00  2.69939512110546431E+00  0.00000000000000000E+00
  8.45422711355677947E+00  2.76601149354800047E+00  0.00000000000000000E+00
  8.55427713856928662E+00  2.83349518126062927E+00  0.00000000000000000E+00
  8.65432716358179199E+00  2.90184874364246159E+00  0.00000000000000000E+00
  8.75437718859429737E+00  2.97107476570594198E+00  0.00000000000000000E+00
  8.85442721360680451E+00  3.04117585792255563E+00  0.00000000000000000E+00
  8.95447723861931166E+00  3.11215465606686514E+00  0.00000000000000000E+00
  9.05452726363181704E+00  3.18401382105889041E+00  0.00000000000000000E+00
  9.15457728864432241E+00  3.25675603880499231E+00  0.00000000000000000E+00
  9.25462731365682956E+00  3.33038402003713196E+00  0.00000000000000000E+00
  9.35467733866933671E+00  3.40490050015053747E+00  0.00000000000000000E+00
  9.45472736368184208E+00  3.48030823903989273E+00  0.00000000000000000E+00
  9.55477738869434745E+00  3.55661002093389111E+00  0.00000000000000000E+00
  9.65482741370685460E+00  3.63380865422824195E+00  0.00000000000000000E+00
  9.75487743871936175E+00  3.71190697131718217E+00  0.00000000000000000E+00
  9.85492746373186712E+00  3.79090782842338170E+00  0.00000000000000000E+00
  9.95497748874437249E+00  3.87081410542641002E+00  0.00000000000000000E+00
  1.00550275137568796E+01  3.95162870568963998E+00  0.00000000000000000E+00
  1.01550775387693868E+01  4.03335455588560077E+00  0.00000000000000000E+00
  1.02551275637818922E+01  4.11599460581983134E+00  0.00000000000000000E+00
  1.03551775887943975E+01  4.19955182825334461E+00  0.00000000000000000E+00
  1.04552276138069047E+01  4.28402921872342546E+00  0.00000000000000000E+00
  1.05552776388194118E+01  4.36942979536313647E+00  0.00000000000000000E+00
  1.06553276638319172E+01  4.45575659871913299E+00  0.00000000000000000E+00
  1.07553776888444226E+01  4.54301269156824006E+00  0.00000000000000000E+00
  1.08554277138569297E+01  4.63120115873234539E+00  0.00000000000000000E+00
  1.09554777388694369E+01  4.72032510689205864E+00  0.00000000000000000E+00
  1.10555277638819422E+01  4.81038766439877374E+00  0.00000000000000000E+00
  1.11555777888944476E+01  4.90139198108531993E+00  0.00000000000000000E+00
  1.12556278139069548E+01  4.99334122807521741E+00  0.00000000000000000E+00
  1.13556778389194619E+01  5.08623859759054131E+00  0.00000000000000000E+00
  1.14557278639319673E+01  5.18008730275825791E+00  0.00000000000000000E+00
  1.15557778889444727E+01  5.27489057741532985E+00  0.00000000000000000E+00
  1.16558279139569798E+01  5.37065167591226267E+00  0.00000000000000000E+00
  1.17558779389694870E+01  5.46737387291540156E+00  0.00000000000000000E+00
  1.18559279639819923E+01  5.56506046320769165E+00  0.00000000000000000E+00
  1.19559779889944977E+01  5.66371476148826858E+00  0.00000000000000000E+00
  1.20560280140070049E+01  5.76334010217045822E+00  0.00000000000000000E+00
  1.21560780390195120E+01  5.86393983917872408E+00  0.00000000000000000E+00
  1.22561280640320174E+01  5.96551734574394299E+00  0.00000000000000000E+00
  1.23561780890445227E+01  6.06807601419750942E+00  0.00000000000000000E+00
  1.24562281140570299E+01  6.17161925576422732E+00  0.00000000000000000E+00
  1.25562781390695370E+01  6.27615050035363886E+00  0.00000000000000000E+00
  1.26563281640820424E+01  6.38167319635025621E+00  0.00000000000000000E+00
  1.27563781890945478E+01  6.48819081040235801E+00  0.00000000000000000E+00
  1.28564282141070549E+01  6.59570682720955848E+00  0.00000000000000000E+00
  1.29564782391195621E+01  6.70422474930910806E+00  0.00000000000000000E+00
  1.30565282641320675E+01  6.81374809686088234E+00  0.00000000000000000E+00
  1.31565782891445728E+01  6.92428040743112128E+00  0.00000000000000000E+00
  1.32566283141570800E+01  7.03582523577497376E+00  0.00000000000000000E+00
  1.33566783391695871E+01  7.14838615361764429E+00  0.00000000000000000E+00
  1.34567283641820925E+01  7.26196674943454479E+00  0.00000000000000000E+00
  1.35567783891945979E+01  7.37657062822997300E+00  0.00000000000000000E+00
  1.36568284142071050E+01  7.49220141131482009E+00  0.00000000000000000E+00
  1.37568784392196122E+01  7.60886273608273989E+00  0.00000000000000000E+00
  1.38569284642321175E+01  7.72655825578554545E+00  0.00000000000000000E+00
  1.39569784892446229E+01  7.84529163930707973E+00  0.00000000000000000E+00
  1.40570285142571301E+01  7.96506657093609149E+00  0.00000000000000000E+00
  1.41570785392696372E+01  8.08588675013778868E+00  0.00000000000000000E+00
  1.42571285642821426E+01  8.20775589132447259E+00  0.00000000000000000E+00
  1.43571785892946480E+01  8.33067772362473669E+00  0.00000000000000000E+00
  1.44572286143071551E+01  8.45465599065187234E+00  0.00000000000000000E+00
  1.45572786393196623E+01  8.57969445027070421E+00  0.00000000000000000E+00
  1.46573286643321676E+01  8.70579687436378791E+00  0.00000000000000000E+00
  1.47573786893446730E+01  8.83296704859614046E+00  0.00000000000000000E+00
  1.48574287143571802E+01  8.96120877217904876E+00  0.00000000000000000E+00
  1.49574787393696873E+01  9.09052585763272525E+00  0.00000000000000000E+00
  1.50575287643821927E+01  9.22092213054797227E+00  0.00000000000000000E+00
  1.51575787893946980E+01  9.35240142934664398E+00  0.00000000000000000E+00
  1.52576288144072052E+01  9.48496760504117908E+00  0.00000000000000000E+00
  1.53576788394197123E+01  9.61862452099301279E+00  0.00000000000000000E+00
  1.54577288644322177E+01  9.75337605267002949E+00  0.00000000000000000E+00
  1.55577788894447231E+01  9.88922608740286613E+00  0.00000000000000000E+00
  1.56578289144572302E+01  1.00261785241403558E+01  0.00000000000000000E+00
  1.57578789394697374E+01  1.01642372732038435E+01  0.00000000000000000E+00
  1.58579289644822428E+01  1.03034062560405797E+01  0.00000000000000000E+00
  1.59579789894947481E+01  1.04436894049760873E+01  0.00000000000000000E+00
  1.60580290145072553E+01  1.05850906629656620E+01  0.00000000000000000E+00
  1.61580790395197624E+01  1.07276139833447175E+01  0.00000000000000000E+00
  1.62581290645322696E+01  1.08712633295783281E+01  0.00000000000000000E+00
  1.63581790895447732E+01  1.10160426750098761E+01  0.00000000000000000E+00
  1.64582291145572803E+01  1.11619560026086315E+01  0.00000000000000000E+00
  1.65582791395697875E+01  1.13090073047164523E+01  0.00000000000000000E+00
  1.66583291645822911E+01  1.14572005827937353E+01  0.00000000000000000E+00
  1.67583791895947982E+01  1.16065398471641696E+01  0.00000000000000000E+00
  1.68584292146073054E+01  1.17570291167588650E+01  0.00000000000000000E+00
  1.69584792396198125E+01  1.19086724188596200E+01  0.00000000000000000E+00
  1.70585292646323197E+01  1.20614737888410328E+01  0.00000000000000000E+00
  1.71585792896448233E+01  1.22154372699121332E+01  0.00000000000000000E+00
  1.72586293146573304E+01  1.23705669128568694E+01  0.00000000000000000E+00
  1.73586793396698376E+01  1.25268667757740335E+01  0.00000000000000000E+00
  1.74587293646823412E+01  1.26843409238161353E+01  0.00000000000000000E+00
  1.75587793896948483E+01  1.28429934289276328E+01  0.00000000000000000E+00
  1.76588294147073555E+01  1.30028283695822520E+01  0.00000000000000000E+00
  1.77588794397198626E+01  1.31638498305196077E+01  0.00000000000000000E+00
  1.78589294647323698E+01  1.33260619024810865E+01  0.00000000000000000E+00
  1.79589794897448733E+01  1.34894686819448122E+01  0.00000000000000000E+00
  1.80590295147573805E+01  1.36540742708600007E+01  0.00000000000000000E+00
  1.81590795397698876E+01  1.38198827763805987E+01  0.00000000000000000E+00
  1.82591295647823912E+01  1.39868983105979723E+01  0.00000000000000000E+00
  1.83591795897948984E+01  1.41551249902732792E+01  0.00000000000000000E+00
  1.84592296148074055E+01  1.43245669365687327E+01  0.00000000000000000E+00
