# OCT iter         41;   J_T =   9.081251971854E-06;   pulse_id =          2                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.0885885885885887E+01   8.5962566901241960E-02   5.4920275201358691E-02
   1.0935935935935937E+01   8.9477994520241716E-02   4.5290523832985742E-02
   1.0985985985985987E+01   9.2581324103396437E-02   3.5084278397468478E-02
   1.1036036036036037E+01   9.5236287167021844E-02   2.4580369325292908E-02
   1.1086086086086089E+01   9.7419291285538986E-02   1.4026440761476347E-02
   1.1136136136136138E+01   9.9118859973444107E-02   3.6460214887157043E-03
   1.1186186186186188E+01   1.0033506781938421E-01  -6.3553603962767033E-03
   1.1236236236236238E+01   1.0107900933461143E-01  -1.5784927405497577E-02
   1.1286286286286288E+01   1.0137235963007914E-01  -2.4458214066547749E-02
   1.1336336336336338E+01   1.0124709314014349E-01  -3.2195501950279259E-02
   1.1386386386386388E+01   1.0074541910457779E-01  -3.8819368718716434E-02
   1.1436436436436438E+01   9.9919964887113771E-02  -4.4153829080280177E-02
   1.1486486486486488E+01   9.8834185264687638E-02  -4.8025832239571881E-02
   1.1536536536536540E+01   9.7562892251608482E-02  -5.0270178047399687E-02
   1.1586586586586588E+01   9.6192682604082050E-02  -5.0739122953205804E-02
   1.1636636636636638E+01   9.4821893349128911E-02  -4.9317864893336026E-02
   1.1686686686686688E+01   9.3559562362763637E-02  -4.5946395560590651E-02
   1.1736736736736740E+01   9.2522767354726504E-02  -4.0646500614740101E-02
   1.1786786786786790E+01   9.1831761807657800E-02  -3.3549789716279935E-02
   1.1836836836836838E+01   9.1602643767617412E-02  -2.4919088035673588E-02
   1.1886886886886888E+01   9.1937953308240172E-02  -1.5153083746564544E-02
   1.1936936936936938E+01   9.2916486018976105E-02  -4.7654899064995156E-03
   1.1986986986986990E+01   9.4584360981438867E-02   5.6631206703829191E-03
   1.2037037037037038E+01   9.6949493476027188E-02   1.5552057892748265E-02
   1.2087087087087088E+01   9.9980839963259918E-02   2.4388573657405994E-02
   1.2137137137137138E+01   1.0361239957099821E-01   3.1779259330432484E-02
   1.2187187187187190E+01   1.0775067413091671E-01   3.7474391595787672E-02
   1.2237237237237240E+01   1.1228369526535278E-01   4.1365553338435473E-02
   1.2287287287287288E+01   1.1708990901905714E-01   4.3464580035311555E-02
   1.2337337337337338E+01   1.2204583233418505E-01   4.3874070826802510E-02
   1.2387387387387390E+01   1.2703205370011331E-01   4.2757689329452141E-02
   1.2437437437437440E+01   1.3193760800395599E-01   4.0314963978930619E-02
   1.2487487487487490E+01   1.3666297610468936E-01   3.6762241479573986E-02
   1.2537537537537538E+01   1.4112201094659452E-01   3.2319552964840625E-02
   1.2587587587587588E+01   1.4524305868401843E-01   2.7202308106820578E-02
   1.2637637637637640E+01   1.4896948555097708E-01   2.1616555304757767E-02
   1.2687687687687690E+01   1.5225976977642419E-01   1.5756690117219040E-02
   1.2737737737737739E+01   1.5508728259965426E-01   9.8047378419750739E-03
   1.2787787787787789E+01   1.5743986213252151E-01   3.9305673444064064E-03
   1.2837837837837840E+01   1.5931927258905199E-01  -1.7074316896325563E-03
   1.2887887887887890E+01   1.6074063224202900E-01  -6.9615651357837578E-03
   1.2937937937937940E+01   1.6173187975945078E-01  -1.1694247605816312E-02
   1.2987987987987989E+01   1.6233332482519638E-01  -1.5777904481185722E-02
   1.3038038038038039E+01   1.6259729126946060E-01  -1.9095668274895752E-02
   1.3088088088088089E+01   1.6258780768814859E-01  -2.1543188843012599E-02
   1.3138138138138139E+01   1.6238023334513924E-01  -2.3031859698991342E-02
   1.3188188188188189E+01   1.6206063242582322E-01  -2.3493672592055675E-02
   1.3238238238238241E+01   1.6172464048538490E-01  -2.2887702136632895E-02
   1.3288288288288291E+01   1.6147552443168792E-01  -2.1207852213598135E-02
   1.3338338338338337E+01   1.6142115046365060E-01  -1.8490964111828222E-02
   1.3388388388388387E+01   1.6166967407197155E-01  -1.4823770907994379E-02
   1.3438438438438439E+01   1.6232397247860858E-01  -1.0346677200948467E-02
   1.3488488488488489E+01   1.6347514156831539E-01  -5.2522440172045916E-03
   1.3538538538538539E+01   1.6519571597480737E-01   2.2314620174767731E-04
   1.3588588588588589E+01   1.6753353391607922E-01   5.8146007238366725E-03
   1.3638638638638639E+01   1.7050723650441379E-01   1.1249327311529729E-02
   1.3688688688688691E+01   1.7410419435438576E-01   1.6269246897791977E-02
   1.3738738738738741E+01   1.7828122661340456E-01   2.0651623538945934E-02
   1.3788788788788787E+01   1.8296795606526498E-01   2.4224306519973354E-02
   1.3838838838838839E+01   1.8807220220372839E-01   2.6873745208634250E-02
   1.3888888888888889E+01   1.9348657488538443E-01   2.8545784933626171E-02
   1.3938938938938939E+01   1.9909541823818516E-01   2.9240687231231289E-02
   1.3988988988988989E+01   2.0478140744791576E-01   2.9004493388326193E-02
   1.4039039039039039E+01   2.1043132683158555E-01   2.7918816311521214E-02
   1.4089089089089089E+01   2.1594077840331438E-01   2.6090679201466713E-02
   1.4139139139139141E+01   2.2121774426257337E-01   2.3643418773117899E-02
   1.4189189189189191E+01   2.2618504456645472E-01   2.0709137230581945E-02
   1.4239239239239238E+01   2.3078180509933993E-01   1.7422805401609714E-02
   1.4289289289289290E+01   2.3496408923894538E-01   1.3917891193211320E-02
   1.4339339339339340E+01   2.3870487042314087E-01   1.0323275652258478E-02
   1.4389389389389390E+01   2.4199352950743069E-01   6.7611785443527916E-03
   1.4439439439439440E+01   2.4483505798743960E-01   3.3458098329491115E-03
   1.4489489489489490E+01   2.4724913094110723E-01   1.8246932732809637E-04
   1.4539539539539541E+01   2.4926917961789902E-01  -2.6331764290176713E-03
   1.4589589589589592E+01   2.5094154081108366E-01  -5.0159030071290677E-03
   1.4639639639639642E+01   2.5232468936110924E-01  -6.8920681015000223E-03
   1.4689689689689692E+01   2.5348847662607715E-01  -8.2012869044233334E-03
   1.4739739739739740E+01   2.5451321214074413E-01  -8.8987657732943672E-03
   1.4789789789789790E+01   2.5548835409282911E-01  -8.9582818544221739E-03
   1.4839839839839840E+01   2.5651053722592598E-01  -8.3756027716439356E-03
   1.4889889889889890E+01   2.5768068632772956E-01  -7.1719032989966194E-03
   1.4939939939939940E+01   2.5910005741693898E-01  -5.3964977591285978E-03
   1.4989989989989992E+01   2.6086522248087723E-01  -3.1280410027047499E-03
   1.5040040040040042E+01   2.6306225078833934E-01  -4.7334873247196606E-04
   1.5090090090090092E+01   2.6576059651736705E-01   2.4367740045909960E-03
   1.5140140140140142E+01   2.6900741120234356E-01   5.4548160833077846E-03
   1.5190190190190190E+01   2.7282308721619769E-01   8.4264197323309399E-03
   1.5240240240240240E+01   2.7719875527623278E-01   1.1201646844506592E-02
   1.5290290290290290E+01   2.8209620477639979E-01   1.3646088806224019E-02
   1.5340340340340340E+01   2.8745032809639148E-01   1.5650250149211280E-02
   1.5390390390390390E+01   2.9317380436172402E-01   1.7136019316372146E-02
   1.5440440440440442E+01   2.9916342994680162E-01   1.8059667327551300E-02
   1.5490490490490492E+01   3.0530733276650873E-01   1.8411472680674314E-02
   1.5540540540540542E+01   3.1149228597287049E-01   1.8212575125402652E-02
   1.5590590590590592E+01   3.1761043456634974E-01   1.7509924309886980E-02
   1.5640640640640640E+01   3.2356491782582497E-01   1.6370223562289603E-02
   1.5690690690690690E+01   3.2927406597177200E-01   1.4873646601199204E-02
   1.5740740740740740E+01   3.3467403931264272E-01   1.3107910872517323E-02
   1.5790790790790791E+01   3.3971994523886906E-01   1.1163090954833864E-02
   1.5840840840840842E+01   3.4438560582034056E-01   9.1273840132449144E-03
   1.5890890890890892E+01   3.4866225354782965E-01   7.0839055136140945E-03
   1.5940940940940942E+01   3.5255650196462368E-01   5.1084910348374278E-03
   1.5990990990990992E+01   3.5608796706355078E-01   3.2683982994606794E-03
   1.6041041041041044E+01   3.5928689945765535E-01   1.6217349533806549E-03
   1.6091091091091094E+01   3.6219212388599392E-01   2.1738161332647264E-04
   1.6141141141141141E+01   3.6484947456341671E-01  -9.0485708638905771E-04
   1.6191191191191191E+01   3.6731077322021788E-01  -1.7141470167526282E-03
   1.6241241241241241E+01   3.6963324111770340E-01  -2.1888025115145873E-03
   1.6291291291291291E+01   3.7187909369322159E-01  -2.3169010997154439E-03
   1.6341341341341341E+01   3.7411496685772999E-01  -2.0973573387380287E-03
   1.6391391391391391E+01   3.7641079507865960E-01  -1.5413151216890156E-03
   1.6441441441441444E+01   3.7883782209415545E-01  -6.7355072434415733E-04
   1.6491491491491495E+01   3.8146557884572802E-01   4.6655343445859261E-04
   1.6541541541541545E+01   3.8435789268596948E-01   1.8249580887363412E-03
   1.6591591591591591E+01   3.8756825713488385E-01   3.3342717797478832E-03
   1.6641641641641641E+01   3.9113513375804543E-01   4.9166527239165436E-03
   1.6691691691691691E+01   3.9507791165111206E-01   6.4882536966831030E-03
   1.6741741741741741E+01   3.9939426195716182E-01   7.9648182597922244E-03
   1.6791791791791791E+01   4.0405947300267081E-01   9.2677484905718793E-03
   1.6841841841841845E+01   4.0902805808275033E-01   1.0329811955419583E-02
   1.6891891891891895E+01   4.1423755546180913E-01   1.1099686763141358E-02
   1.6941941941941945E+01   4.1961407336560796E-01   1.1544747577830500E-02
   1.6991991991991995E+01   4.2507885119959571E-01   1.1651810058790107E-02
   1.7042042042042041E+01   4.3055496400886867E-01   1.1425890378804988E-02
   1.7092092092092091E+01   4.3597330551758129E-01   1.0887324245389825E-02
   1.7142142142142141E+01   4.4127712898482213E-01   1.0067781761160882E-02
   1.7192192192192191E+01   4.4642466809198278E-01   9.0058004125102165E-03
   1.7242242242242241E+01   4.5138965883144228E-01   7.7424514045460616E-03
   1.7292292292292295E+01   4.5615989553204095E-01   6.3176752800916062E-03
   1.7342342342342345E+01   4.6073424055619239E-01   4.7676896745103489E-03
   1.7392392392392395E+01   4.6511873147453581E-01   3.1236990492848260E-03
   1.7442442442442445E+01   4.6932255883562785E-01   1.4119369164667878E-03
   1.7492492492492495E+01   4.7335469676993869E-01  -3.4513541588760934E-04
   1.7542542542542542E+01   4.7722184693664615E-01  -2.1268358670507265E-03
   1.7592592592592592E+01   4.8092811448269679E-01  -3.9119707605549904E-03
   1.7642642642642642E+01   4.8447650758154798E-01  -5.6767960768430731E-03
   1.7692692692692695E+01   4.8787199457439784E-01  -7.3937385995547248E-03
   1.7742742742742745E+01   4.9112552903851603E-01  -9.0312508618530744E-03
   1.7792792792792795E+01   4.9425822361971172E-01  -1.0554969945578811E-02
   1.7842842842842845E+01   4.9730476288778930E-01  -1.1930110004936248E-02
   1.7892892892892895E+01   5.0031521571532001E-01  -1.3124779596594190E-02
   1.7942942942942945E+01   5.0335463539238146E-01  -1.4113714210785744E-02
   1.7992992992992992E+01   5.0650019240107769E-01  -1.4881785851030680E-02
   1.8043043043043042E+01   5.0983601789426314E-01  -1.5426625489174136E-02
   1.8093093093093092E+01   5.1344637134876570E-01  -1.5759792822803181E-02
   1.8143143143143146E+01   5.1740809554733513E-01  -1.5906154395242140E-02
   1.8193193193193196E+01   5.2178350006891605E-01  -1.5901457870932056E-02
   1.8243243243243246E+01   5.2661476121561812E-01  -1.5788451930481725E-02
