# OCT iter        711;   J_T =   9.957421717913E-04;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   1.5490490490490492E+01   3.3886484473565515E-01   2.4405503087649302E-01
   1.5540540540540542E+01   3.6651087965929929E-01   3.1907199589524365E-01
   1.5590590590590592E+01   3.7798610908686281E-01   3.9458056457664098E-01
   1.5640640640640640E+01   3.7310112011241414E-01   4.7129494551898549E-01
   1.5690690690690690E+01   3.5280267164424856E-01   5.5043106753610749E-01
   1.5740740740740740E+01   3.1917814279559331E-01   6.3400254760356201E-01
   1.5790790790790791E+01   2.7542189213273954E-01   7.2546747229555930E-01
   1.5840840840840842E+01   2.2593472479301402E-01   8.3113888903468003E-01
   1.5890890890890892E+01   1.7696011225945862E-01   9.6295705380936858E-01
   1.5940940940940942E+01   1.3837812371265440E-01  -8.6003481986917629E-01
   1.5990990990990992E+01   1.2416502580957289E-01  -6.3504179873744926E-01
   1.6041041041041044E+01   1.3960686370292050E-01  -4.1855724038657272E-01
   1.6091091091091094E+01   1.7198601355126489E-01  -2.5148639412991330E-01
   1.6141141141141141E+01   2.0778564876601882E-01  -1.2126258413512805E-01
   1.6191191191191191E+01   2.3976856168858782E-01  -1.0725745022380943E-02
   1.6241241241241241E+01   2.6429384252715243E-01   8.9662795283943053E-02
   1.6291291291291291E+01   2.7935760683048177E-01   1.8467309763911882E-01
   1.6341341341341341E+01   2.8379900220025289E-01   2.7669506181642278E-01
   1.6391391391391391E+01   2.7698036078515242E-01   3.6689879936895875E-01
   1.6441441441441444E+01   2.5864005761659908E-01   4.5577515288527648E-01
   1.6491491491491495E+01   2.2881148740924162E-01   5.4338005973316461E-01
   1.6541541541541545E+01   1.8777760296272752E-01   6.2937784702369770E-01
   1.6591591591591591E+01   1.3606356688528307E-01   7.1268913736682882E-01
   1.6641641641641641E+01   7.4495147326236119E-02   7.8856213488526872E-01
   1.6691691691691691E+01   6.2234551764170478E-03   6.1196334116562245E-01
   1.6741741741741741E+01   7.3688457217088624E-02  -4.2044097035767629E-03
   1.6791791791791791E+01   1.5589182439655755E-01   6.5213747849936374E-02
   1.6841841841841845E+01   2.3988859081260155E-01   1.4024062024296169E-01
   1.6891891891891895E+01   3.2177279920770396E-01   2.1503769373542786E-01
   1.6941941941941945E+01   3.9699438349845578E-01   2.8840325245568066E-01
   1.6991991991991995E+01   4.6063609151818247E-01   3.5990437173019879E-01
   1.7042042042042041E+01   5.0789889752518125E-01   4.2936925570370160E-01
   1.7092092092092091E+01   5.3471399734967029E-01   4.9679159953982011E-01
   1.7142142142142141E+01   5.3836921497493140E-01   5.6233571362710733E-01
   1.7192192192192191E+01   5.1801619383999331E-01   6.2639112277709785E-01
   1.7242242242242241E+01   4.7494006555756219E-01   6.8969102543397176E-01
   1.7292292292292295E+01   4.1252507027212681E-01   7.5357269244012870E-01
   1.7342342342342345E+01   3.3593653275636010E-01   8.2062046455589055E-01
   1.7392392392392395E+01   2.5169220349938121E-01   8.9652553352248399E-01
   1.7442442442442445E+01   1.6773702940420268E-01   9.9670906886985777E-01
   1.7492492492492495E+01   9.7096701773568023E-02  -8.2571242844800619E-01
   1.7542542542542542E+01   7.5064511872187628E-02  -4.7969469900646861E-01
   1.7592592592592592E+01   1.1283071525978251E-01  -2.2535652646487825E-01
   1.7642642642642642E+01   1.6072127007753970E-01  -1.0156343181643718E-01
   1.7692692692692695E+01   2.0109443420452575E-01  -1.8966451084701706E-02
   1.7742742742742745E+01   2.3053689809760602E-01   4.8979501891553145E-02
   1.7792792792792795E+01   2.4870142554345392E-01   1.1071841001504011E-01
   1.7842842842842845E+01   2.5621003707816281E-01   1.6929112472718613E-01
   1.7892892892892895E+01   2.5405954941870151E-01   2.2536219322124820E-01
   1.7942942942942945E+01   2.4341038612042976E-01   2.7787579357255277E-01
   1.7992992992992992E+01   2.2561182461579457E-01   3.2379651346273319E-01
   1.8043043043043042E+01   2.0260438267134068E-01   3.5712958728527111E-01
   1.8093093093093092E+01   1.7814021033991076E-01   3.6741794044206288E-01
   1.8143143143143146E+01   1.6038720491878475E-01   3.4137064648536070E-01
