#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
      11.809842   2.6431316311885445E-03   1.6349102210181136E-03  -4.0033366808686015E-02   2.2564863788549258E-02   3.1278582015426493E-02   2.7514029388922671E-02  -4.8389626334625813E-01   3.5920443720078332E-01
      11.909925   2.6543339465861194E-03   1.6422545292121428E-03  -1.6246278271160264E-02  -4.3103336735463044E-02  -3.7603357581940486E-02   1.7804991981021742E-02   5.9853237772662005E-01  -4.9394881080745315E-02
      12.010008   2.6926656670247726E-03   1.6444167403915062E-03   4.5011599230395126E-02  -9.7842340740231688E-03  -1.5269081847371010E-03  -4.1762921066699280E-02  -5.3181683558175807E-01  -2.7465802901010811E-01
      12.110092   2.7625879324095878E-03   1.6302987960193326E-03   3.4159273528616557E-03   4.5793167374320494E-02   3.9395903043959686E-02   1.5015784235449445E-02   3.0255966956957303E-01   5.1281719294415029E-01
      12.210175   2.8520827593269326E-03   1.5937125985509115E-03  -4.5601652791381557E-02  -2.7463427713914496E-03  -2.9287352992504977E-02   3.0883101155504130E-02   1.6612572437051332E-02  -5.9042598431228122E-01
      12.310259   2.9370723770512619E-03   1.5376895053385896E-03   8.7368897027382160E-03  -4.4576420240643941E-02  -1.7510005786239104E-02  -3.9093348616083004E-02  -3.2409934028510129E-01   4.8662374664482899E-01
      12.410342   2.9934186438807472E-03   1.4751537559235864E-03   4.2748836997899969E-02   1.4645062774484477E-02   4.2881337596047966E-02  -1.2952709444510636E-03   5.2672156768865330E-01  -2.3932867184139994E-01
      12.510425   3.0106673590363630E-03   1.4246333361630956E-03  -2.0492237828295796E-02   4.0062794485628037E-02  -1.5278389863878089E-02   3.9979947573376126E-02  -5.6881963338359076E-01  -7.3283534147728258E-02
      12.610509   2.9989487183788438E-03   1.4010078281641719E-03  -3.6469630450705282E-02  -2.6169784412459363E-02  -3.0732450308174196E-02  -2.9603206575732559E-02   4.4262996619304751E-01   3.5972040230418983E-01
      12.710592   2.9832201716725130E-03   1.4063950509669060E-03   3.1464959126699721E-02  -3.2012565719081454E-02   3.9323734431360016E-02  -1.6510048820720647E-02  -1.8551790022496675E-01  -5.3781814206411394E-01
      12.810676   2.9884546269956696E-03   1.4285651888037978E-03   2.6846083568300001E-02   3.6148173360468584E-02  -4.1886050847415521E-04   4.2750837148906456E-02  -1.2799004522179294E-01   5.5352741561203056E-01
