# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   9.1216216216216210E+00   5.2983711446757103E-03  -1.6410691275290837E-01
   9.1966966966966961E+00   5.4288077388218031E-03  -1.6413658943333384E-01
   9.2717717717717711E+00   5.5620885757022304E-03  -1.6416651940839055E-01
   9.3468468468468462E+00   5.6982662879192731E-03  -1.6419687599757413E-01
   9.4219219219219212E+00   5.8373940399559354E-03  -1.6422778752306538E-01
   9.4969969969969981E+00   5.9795251269766161E-03  -1.6425932670536131E-01
   9.5720720720720713E+00   6.1247125840297343E-03  -1.6429151103689837E-01
   9.6471471471471464E+00   6.2730089044231571E-03  -1.6432431291994509E-01
   9.7222222222222232E+00   6.4244659470688980E-03  -1.6435767597049683E-01
   9.7972972972972965E+00   6.5791350688272510E-03  -1.6439153264518208E-01
   9.8723723723723715E+00   6.7370674607121952E-03  -1.6442581857435390E-01
   9.9474474474474484E+00   6.8983146124181006E-03  -1.6446048056124535E-01
   1.0022522522522522E+01   7.0629287941781542E-03  -1.6449547760318559E-01
   1.0097597597597597E+01   7.2309634396605024E-03  -1.6453077673061461E-01
   1.0172672672672673E+01   7.4024733409277640E-03  -1.6456634716604321E-01
   1.0247747747747747E+01   7.5775146190554619E-03  -1.6460215674013634E-01
   1.0322822822822822E+01   7.7561444964761835E-03  -1.6463817353553453E-01
   1.0397897897897899E+01   7.9384209506371539E-03  -1.6467437367821244E-01
   1.0472972972972972E+01   8.1244023565525680E-03  -1.6471075372892993E-01
   1.0548048048048047E+01   8.3141472193117728E-03  -1.6474734405345726E-01
   1.0623123123123124E+01   8.5077140583219371E-03  -1.6478421856915629E-01
   1.0698198198198197E+01   8.7051614453749759E-03  -1.6482149674414165E-01
   1.0773273273273272E+01   8.9065481379846292E-03  -1.6485933557808288E-01
   1.0848348348348349E+01   9.1119332084159260E-03  -1.6489791200265227E-01
   1.0923423423423422E+01   9.3213760624932113E-03  -1.6493739890586848E-01
   1.0998498498498497E+01   9.5349362750192772E-03  -1.6497793997168439E-01
   1.1073573573573574E+01   9.7526732321030658E-03  -1.6501962911566764E-01
   1.1148648648648647E+01   9.9746456457347112E-03  -1.6506249928023733E-01
   1.1223723723723724E+01   1.0200911068157976E-02  -1.6510652299908635E-01
   1.1298798798798799E+01   1.0431525560850800E-02  -1.6515162412120798E-01
   1.1373873873873872E+01   1.0666543652690381E-02  -1.6519769727399425E-01
   1.1448948948948949E+01   1.0906018655887712E-02  -1.6524462985461424E-01
   1.1524024024024024E+01   1.1150003312955063E-02  -1.6529232107388980E-01
   1.1599099099099098E+01   1.1398550650246470E-02  -1.6534069388243317E-01
   1.1674174174174174E+01   1.1651714843143788E-02  -1.6538969805538095E-01
   1.1749249249249250E+01   1.1909551877992202E-02  -1.6543930552974165E-01
   1.1824324324324323E+01   1.2172119835673997E-02  -1.6548950140169769E-01
   1.1899399399399400E+01   1.2439478712798449E-02  -1.6554027508917429E-01
   1.1974474474474475E+01   1.2711689814407456E-02  -1.6559161572054348E-01
   1.2049549549549550E+01   1.2988814863087013E-02  -1.6564351398133126E-01
   1.2124624624624625E+01   1.3270915040336069E-02  -1.6569597003447897E-01
   1.2199699699699700E+01   1.3558050184850304E-02  -1.6574900457896885E-01
   1.2274774774774775E+01   1.3850278315198613E-02  -1.6580266847170860E-01
   1.2349849849849850E+01   1.4147655537671309E-02  -1.6585704618116900E-01
   1.2424924924924925E+01   1.4450236276362553E-02  -1.6591224978506575E-01
   1.2500000000000000E+01   1.4758073660783744E-02  -1.6596840288242368E-01
   1.2575075075075075E+01   1.5071219859932166E-02  -1.6602561688420522E-01
   1.2650150150150150E+01   1.5389726177758833E-02  -1.6608396473609741E-01
   1.2725225225225225E+01   1.5713642817715492E-02  -1.6614345839563030E-01
   1.2800300300300300E+01   1.6043018355775311E-02  -1.6620403589386065E-01
   1.2875375375375375E+01   1.6377899089868669E-02  -1.6626556163719855E-01
   1.2950450450450450E+01   1.6718328515169738E-02  -1.6632784033186193E-01
   1.3025525525525527E+01   1.7064347177488309E-02  -1.6639064146490587E-01
   1.3100600600600600E+01   1.7415993072758269E-02  -1.6645372864286495E-01
   1.3175675675675677E+01   1.7773302608401428E-02  -1.6651688703386153E-01
   1.3250750750750752E+01   1.8136311964680338E-02  -1.6657994298355253E-01
   1.3325825825825826E+01   1.8505058545139473E-02  -1.6664277232497077E-01
   1.3400900900900902E+01   1.8879582134287736E-02  -1.6670529723890293E-01
   1.3475975975975977E+01   1.9259925416775861E-02  -1.6676747474034972E-01
   1.3551051051051051E+01   1.9646133653456906E-02  -1.6682928199925601E-01
   1.3626126126126128E+01   2.0038253521437201E-02  -1.6689070411184243E-01
   1.3701201201201203E+01   2.0436331349081606E-02  -1.6695172851135934E-01
   1.3776276276276276E+01   2.0840411146941924E-02  -1.6701234740246335E-01
   1.3851351351351353E+01   2.1250532898042879E-02  -1.6707256631666006E-01
   1.3926426426426428E+01   2.1666731501783887E-02  -1.6713241418222294E-01
   1.4001501501501501E+01   2.2089036579631037E-02  -1.6719194908964427E-01
   1.4076576576576578E+01   2.2517473099142926E-02  -1.6725125467964080E-01
   1.4151651651651653E+01   2.2952062529982942E-02  -1.6731042465156057E-01
   1.4226726726726726E+01   2.3392824087002134E-02  -1.6736953657311962E-01
   1.4301801801801803E+01   2.3839775594644650E-02  -1.6742861987492072E-01
   1.4376876876876878E+01   2.4292933637085921E-02  -1.6748762548332807E-01
   1.4451951951951951E+01   2.4752312906020202E-02  -1.6754640512078103E-01
   1.4527027027027028E+01   2.5217924949843276E-02  -1.6760470658515356E-01
   1.4602102102102103E+01   2.5689776771940762E-02  -1.6766218768551788E-01
   1.4677177177177180E+01   2.6167869838350059E-02  -1.6771844692645207E-01
   1.4752252252252253E+01   2.6652199988290135E-02  -1.6777306478328105E-01
   1.4827327327327328E+01   2.7142758500633572E-02  -1.6782564672971295E-01
   1.4902402402402405E+01   2.7639534217006788E-02  -1.6787585887643977E-01
   1.4977477477477478E+01   2.8142516260528744E-02  -1.6792344928108499E-01
   1.5052552552552553E+01   2.8651696632860355E-02  -1.6796825208235350E-01
   1.5127627627627630E+01   2.9167071912528045E-02  -1.6801017640090243E-01
   1.5202702702702704E+01   2.9688643451801899E-02  -1.6804918600711449E-01
   1.5277777777777779E+01   3.0216415844797503E-02  -1.6808527784342273E-01
