# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]        phase(E) [rad/pi]
   3.2695195195195197E+01   4.2505439304438279E-02
   3.2770270270270267E+01   4.2743689308354926E-02
   3.2845345345345343E+01   4.2059138130755354E-02
   3.2920420420420420E+01   4.0672199996084214E-02
   3.2995495495495490E+01   3.8783042085419502E-02
   3.3070570570570567E+01   3.6554512142073982E-02
   3.3145645645645644E+01   3.4112697172108894E-02
   3.3220720720720720E+01   3.1559189224580383E-02
   3.3295795795795797E+01   2.8987985619996739E-02
   3.3370870870870874E+01   2.6500516515672326E-02
   3.3445945945945944E+01   2.4213638521722047E-02
   3.3521021021021021E+01   2.2256960842676442E-02
   3.3596096096096097E+01   2.0757756640297470E-02
   3.3671171171171167E+01   1.9814811386173487E-02
   3.3746246246246244E+01   1.9467275326732446E-02
   3.3821321321321321E+01   1.9669289297458408E-02
   3.3896396396396391E+01   2.0282175509277616E-02
   3.3971471471471467E+01   2.1090558922942790E-02
   3.4046546546546544E+01   2.1838718867172081E-02
   3.4121621621621621E+01   2.2275038567649178E-02
   3.4196696696696698E+01   2.2191267066683177E-02
   3.4271771771771775E+01   2.1449236523295497E-02
   3.4346846846846844E+01   1.9994961171329637E-02
   3.4421921921921921E+01   1.7862933756700589E-02
   3.4496996996996998E+01   1.5171242873438313E-02
   3.4572072072072068E+01   1.2105253163870552E-02
   3.4647147147147145E+01   8.8887742026039166E-03
   3.4722222222222221E+01   5.7470175960385094E-03
   3.4797297297297291E+01   2.8704602711428495E-03
   3.4872372372372375E+01   3.8852778917741049E-04
   3.4947447447447452E+01  -1.6425427509023220E-03
   3.5022522522522522E+01  -3.2376018806617546E-03
   3.5097597597597598E+01  -4.4672314798889666E-03
   3.5172672672672675E+01  -5.4295982553307209E-03
   3.5247747747747745E+01  -6.2119489516817370E-03
   3.5322822822822822E+01  -6.8501089470500692E-03
   3.5397897897897899E+01  -7.3005380812081007E-03
   3.5472972972972968E+01  -7.4394824154142185E-03
   3.5548048048048045E+01  -7.0943739428182403E-03
   3.5623123123123122E+01  -6.0982597337103763E-03
   3.5698198198198199E+01  -4.3478214424758485E-03
   3.5773273273273276E+01  -1.8453960439326678E-03
   3.5848348348348352E+01   1.2865853210231887E-03
   3.5923423423423422E+01   4.8205087301685856E-03
   3.5998498498498499E+01   8.4623499067832467E-03
   3.6073573573573576E+01   1.1904282190075095E-02
   3.6148648648648646E+01   1.4877940865671723E-02
   3.6223723723723722E+01   1.7193785212356136E-02
   3.6298798798798799E+01   1.8754761554780022E-02
   3.6373873873873869E+01   1.9540969106097927E-02
   3.6448948948948946E+01   1.9574039356157667E-02
   3.6524024024024023E+01   1.8879364426303408E-02
   3.6599099099099099E+01   1.7465175323557087E-02
   3.6674174174174176E+01   1.5328798033062878E-02
   3.6749249249249253E+01   1.2487187496269314E-02
   3.6824324324324323E+01   9.0181112565982432E-03
   3.6899399399399400E+01   5.0945301617497636E-03
   3.6974474474474476E+01   9.9798024489289121E-04
   3.7049549549549546E+01  -2.8955081118967108E-03
   3.7124624624624623E+01  -6.1547124791787684E-03
   3.7199699699699700E+01  -8.3491651207443403E-03
   3.7274774774774770E+01  -9.1113503970501920E-03
   3.7349849849849846E+01  -8.1969779426469460E-03
   3.7424924924924923E+01  -5.5380049848833606E-03
   3.7500000000000000E+01  -1.2825659100364930E-03
   3.7575075075075077E+01   4.1887712920532661E-03
   3.7650150150150154E+01   1.0285539448504456E-02
   3.7725225225225223E+01   1.6280177609296221E-02
   3.7800300300300300E+01   2.1425905240245745E-02
   3.7875375375375377E+01   2.5091210762794636E-02
   3.7950450450450447E+01   2.6869642196252940E-02
   3.8025525525525524E+01   2.6633155532871960E-02
   3.8100600600600600E+01   2.4522595736819645E-02
   3.8175675675675670E+01   2.0891681735162607E-02
   3.8250750750750747E+01   1.6229473929537611E-02
   3.8325825825825824E+01   1.1081858027733531E-02
   3.8400900900900901E+01   5.9821728159104876E-03
   3.8475975975975977E+01   1.3919612918468316E-03
   3.8551051051051054E+01  -2.3494705581106443E-03
   3.8626126126126124E+01  -5.0628381107829870E-03
   3.8701201201201201E+01  -6.7440323894706741E-03
   3.8776276276276278E+01  -7.5474089577427534E-03
   3.8851351351351347E+01  -7.7367093978339824E-03
   3.8926426426426424E+01  -7.6145293078508629E-03
   3.9001501501501501E+01  -7.4497343191376290E-03
   3.9076576576576571E+01  -7.4246781751007565E-03
   3.9151651651651648E+01  -7.6185909324864342E-03
   3.9226726726726724E+01  -8.0298955275513312E-03
   3.9301801801801801E+01  -8.6232796130367318E-03
   3.9376876876876878E+01  -9.3766745317012644E-03
   3.9451951951951955E+01  -1.0306146116191286E-02
   3.9527027027027025E+01  -1.1460940625417393E-02
   3.9602102102102101E+01  -1.2896664811412988E-02
   3.9677177177177178E+01  -1.4642775367631929E-02
   3.9752252252252248E+01  -1.6679113448298651E-02
   3.9827327327327325E+01  -1.8929033421202047E-02
