#        t [ns]                  pop[00]                  pop[01]                  pop[10]                  pop[11]
      25.812906   2.0838932913694080E-02   9.3640825294161945E-01   3.1003416261102170E-04   3.2611567469201163E-03
      26.013007   1.7587539359422370E-02   9.3095266649435127E-01   5.0454283480198293E-04   5.1561529096403221E-03
      26.213107   1.5470478377075735E-02   9.2385897730798139E-01   7.4026460720823207E-04   7.4505048017131535E-03
      26.413207   1.4612520639153989E-02   9.1525226541265670E-01   1.0147878010696482E-03   1.0091464197412485E-02
      26.613307   1.5103218309668962E-02   9.0533329156949727E-01   1.3276043835167253E-03   1.3007675128467131E-02
      26.813407   1.6994675810927250E-02   8.9436290239852523E-01   1.6803869462190233E-03   1.6113792017459907E-02
      27.013507   2.0304078666544562E-02   8.8263551848326116E-01   2.0767217326228510E-03   1.9316760278704128E-02
      27.213607   2.5015128289892264E-02   8.7045413488150092E-01   2.5211254960286426E-03   2.2521864274529142E-02
      27.413707   3.1074304093555941E-02   8.5811660527938727E-01   3.0171476830313979E-03   2.5637362779076616E-02
      27.613807   3.8383333633308772E-02   8.4591384617434950E-01   3.5646491203966848E-03   2.8577653165454183E-02
      27.813907   4.6793210255495397E-02   8.3413341568272492E-01   4.1568607161304909E-03   3.1265425894970049E-02
      28.014007   5.6105171004001829E-02   8.2306054711577803E-01   4.7782273730231761E-03   3.3633107819803700E-02
      28.214107   6.6081353597705450E-02   8.1297122591987014E-01   5.4040640218163388E-03   3.5623646577270247E-02
      28.414207   7.6463972974112712E-02   8.0411571958618011E-01   6.0026038177230069E-03   3.7190830665331000E-02
      28.614307   8.6997625290372776E-02   7.9669560134987705E-01   6.5391822579555668E-03   3.8299768766109174E-02
      28.814407   9.7446377694711525E-02   7.9084219982323667E-01   6.9813915476454836E-03   3.8928286926273085E-02
      29.014507   1.0759869837769606E-01   7.8660644266719348E-01   7.3036148291479785E-03   3.9069334427657525E-02
      29.214607   1.1726017892604353E-01   7.8396574348907389E-01   7.4898031081756513E-03   3.8733309711722778E-02
      29.414707   1.2624188790588317E-01   7.8284457958332343E-01   7.5343564683227095E-03   3.7948636355728739E-02
      29.614807   1.3435408737416643E-01   7.8313892345627889E-01   7.4416558315218125E-03   3.6759657504363996E-02
      29.814907   1.4140984122630401E-01   7.8473559305845664E-01   7.2247535463503135E-03   3.5222265024775899E-02
      30.015008   1.4723678070926829E-01   7.8752299213905330E-01   6.9033910640663443E-03   3.3398383021841886E-02
      30.215108   1.5169251033231534E-01   7.9139418030317921E-01   6.5013840359053610E-03   3.1350362688922835E-02
      30.415208   1.5467825585118655E-01   7.9624548694293973E-01   6.0435490187808021E-03   2.9136293755302703E-02
      30.615308   1.5614492493708443E-01   8.0197484385553042E-01   5.5525987524501687E-03   2.6807255152880245E-02
      30.815408   1.5608861140832869E-01   8.0848248517932964E-01   5.0466796382807599E-03   2.4406920423097313E-02
      31.015508   1.5453936532653592E-01   8.1567239375094225E-01   4.5382179279505712E-03   2.1972792280130035E-02
      31.215608   1.5155167037208209E-01   8.2344996598720810E-01   4.0343037884813023E-03   1.9537764536300954E-02
      31.415708   1.4720228298884819E-01   8.3171348259337485E-01   3.5382391472201244E-03   1.7131259495238613E-02
      31.615808   1.4159434055385209E-01   8.4034168007780607E-01   3.0515725741751894E-03   1.4780118543502418E-02
      31.815908   1.3486305145217414E-01   8.4918204709548639E-01   2.5760399770464728E-03   1.2509740458485545E-02
      32.016008   1.2717921697014717E-01   8.5804368153142063E-01   2.1150457376571566E-03   1.0345570885266737E-02
      32.216108   1.1874850580187860E-01   8.6669728732428619E-01   1.6744730440732766E-03   8.3145680213517845E-03
      32.416208   1.0980518626637292E-01   8.7488372251616009E-01   1.2627668357257594E-03   6.4461808420451820E-03
      32.616308   1.0060086075640336E-01   8.8232981880801598E-01   8.9041783322758850E-04   4.7726179939996212E-03
      32.816408   9.1391797054957480E-02   8.8876684353635615E-01   5.6907382504600549E-04   3.3284124913985709E-03
      33.016508   8.2429371270082638E-02   8.9394653686574110E-01   3.1046254770643740E-04   2.1492978750830066E-03
      33.216608   7.3955225252166426E-02   8.9765298566889906E-01   1.2525075737008972E-04   1.2703400885323399E-03
      33.416708   6.6199148520946563E-02   8.9971187044040368E-01   2.1990655469285702E-05   7.2336851822342354E-04
      33.616808   5.9377011083982356E-02   8.9999878773010200E-01   6.3545259855152531E-06   5.3399569242874553E-04
      33.816908   5.3687402501607272E-02   8.9844723086172373E-01   8.0823303229487603E-05   7.1861021144579496E-04
      34.017009   4.9306218260002033E-02   8.9505686624332348E-01   2.4487370602599223E-04   1.2815967021137405E-03
      34.217109   4.6378788037542973E-02   8.8990215562944719E-01   4.9556784213295173E-04   2.2130220255610531E-03
      34.417209   4.5011289396390451E-02   8.8313792961857418E-01   8.2834278109974308E-04   3.4873045737606658E-03
