#     iter                       g1                       g2                       g3                   bare J                   deltaU                   full J                   deltaJ                       c1                       c2                       c3                 max_conc
        67   9.2883858890843451E-01   7.3707368741184219E-03   2.8570471508602755E+00   1.6006209681114043E+00   2.3015301285057355E-02   1.8077586796769207E-01   1.2435964004791167E-01   8.3297696068785426E-02   2.1561395173814408E-02   3.6739759674346388E-03   3.2349857537777366E-01
        68   9.2780559627288861E-01   7.7807679620253475E-03   2.8549520043942671E+00   1.5959827414143692E+00   2.3196080751772152E-02   1.8047474681803186E-01   1.2514525184404945E-01   8.3917617488266025E-02   2.1732387428020826E-02   3.8527827599623490E-03   3.2584869573326092E-01
        69   9.2680778381074991E-01   8.1558686013157976E-03   2.8529257189350234E+00   1.5914566652703104E+00   2.3380602941384998E-02   1.8018820917427755E-01   1.2595169096311565E-01   8.4506212731430774E-02   2.1921364188166870E-02   4.0161924685093164E-03   3.2815721160652389E-01
        70   9.2584028968746279E-01   8.5004041914718761E-03   2.8509586226273127E+00   1.5870393730263781E+00   2.3566262989251130E-02   1.7991357399296384E-01   1.2676394302061500E-01   8.5067351349960574E-02   2.2127142705922309E-02   4.1656316526859083E-03   3.3043217638867689E-01
        71   9.2489892242974059E-01   8.8183569189612347E-03   2.8490423591511060E+00   1.5827259028259546E+00   2.3751172301789469E-02   1.7964864535420599E-01   1.2757115049114676E-01   8.5604321796549865E-02   2.2348726768149418E-02   4.3025132998621984E-03   3.3268044764488780E-01
        72   9.2398002639859955E-01   9.1133235983508632E-03   2.8471696212501096E+00   1.5785099196331442E+00   2.3934038817780889E-02   1.7939162689931723E-01   1.2836587269396382E-01   8.6119940547795704E-02   2.2585292105369414E-02   4.4282193448273999E-03   3.3490797215389306E-01
        73   9.2308037155167955E-01   9.3885303571500447E-03   2.8453339322401474E+00   1.5743839546371483E+00   2.4114057281897638E-02   1.7914104701742273E-01   1.2914342344563234E-01   8.6616641461841559E-02   2.2836170656223564E-02   4.5440867814798835E-03   3.3712000751668059E-01
        74   9.2219706586695427E-01   9.6468563849942714E-03   2.8435294723901543E+00   1.5703396499729005E+00   2.4290811312574156E-02   1.7889569517860679E-01   1.2990129117990667E-01   8.7096547309077899E-02   2.3100834808432558E-02   4.6513970789244796E-03   3.3932128980011850E-01
        75   9.2132748719633939E-01   9.8908617758178864E-03   2.8417509438241328E+00   1.5663679972379208E+00   2.4464187779639990E-02   1.7865456872546806E-01   1.3063864008850257E-01   8.7561526204895213E-02   2.3378882356631159E-02   4.7513685326366906E-03   3.4151615780585204E-01
        76   9.2046923084434729E-01   1.0122816463005843E-02   2.8399934666124271E+00   1.5624595598304656E+00   2.4634303308507910E-02   1.7841682896070371E-01   1.3135588776932006E-01   8.8013235802162582E-02   2.3670022631808230E-02   4.8451511509028378E-03   3.4370864400682960E-01
        77   9.1962006933345242E-01   1.0344728556387860E-02   2.8382524990273099E+00   1.5586046715708783E+00   2.4801442298642229E-02   1.7818176522586585E-01   1.3205435324710368E-01   8.8453157870172827E-02   2.3974064047223020E-02   4.9338236807807689E-03   3.4590254081961885E-01
        78   9.1877792129317937E-01   1.0558371213023830E-02   2.8365237758691935E+00   1.5547936066370704E+00   2.4966005611167574E-02   1.7794876571375787E-01   1.3273596858083725E-01   8.8882625495796397E-02   2.4290903156313604E-02   5.0183924034712390E-03   3.4810144922709918E-01
        79   9.1794082698961066E-01   1.0765307662963311E-02   2.8348032599156192E+00   1.5510167183694588E+00   2.5128468938388271E-02   1.7771729388149535E-01   1.3340304701358596E-01   8.9302844711771412E-02   2.4620515215882099E-02   5.0997913668460737E-03   3.5030881514833057E-01
